Date,Open,High,Low,Close,Adj Close,Volume
2024-02-26,183.75,184.46,182.48,183.36,179.26,7145400
2024-02-23,183.81,185.20,183.19,183.99,179.88,7105800
2024-02-22,181.82,183.42,181.24,183.07,178.98,9296500
2024-02-21,179.95,180.99,178.52,180.90,176.86,7027900
2024-02-20,179.19,180.46,178.41,179.73,175.71,9668000
2024-02-16,179.61,179.98,178.16,179.03,175.03,8148100
2024-02-15,176.15,180.21,176.15,179.87,175.85,8723400
2024-02-14,175.07,176.10,174.42,176.03,172.10,7056700
2024-02-13,175.32,176.23,172.62,174.26,170.37,8397600
2024-02-12,174.78,176.81,173.70,175.79,171.86,8539300
2024-02-09,175.00,175.10,173.67,175.01,171.10,6296700
2024-02-08,175.00,175.31,173.57,174.80,170.89,6060300
2024-02-07,175.69,175.87,173.96,175.43,171.51,7225500
